Product,Price
Strawberries,1971
Bar Bran Honey Nut,8667
Icecream - Dstk Cml And Fdg,4648
Fenngreek Seed,6582
Pepper - Roasted Red,9844
"Lemonade - Island Tea, 591 Ml",4617
Pork - Suckling Pig,2183
Banana Turning,2097
Dikon,1360
Blouse / Shirt / Sweater,128
Wine - Pinot Noir Mondavi Coastal,4830
Muffin Hinge 117n,9174
"Oil - Shortening,liqud, Fry",8535
Soupfoamcont12oz 112con,2729
Ezy Change Mophandle,9305
Sproutsmustard Cress,2411
Turnip - White,8275
"Sparkling Wine - Rose, Freixenet",845
Buffalo - Short Rib Fresh,7413
Wine - Cave Springs Dry Riesling,5971
Chocolate - Milk Coating,2999
Sunflower Seed Raw,7155
"Juice - Pineapple, 48 Oz",3223
Brandy Apricot,6995
Cake - Miini Cheesecake Cherry,4665
Ocean Spray - Kiwi Strawberry,2697
Sponge Cake Mix - Vanilla,1274
"Vinegar - Balsamic, White",2468
Salmon - Canned,1491
Glass - Juice Clear 5oz 55005,6421
Cauliflower,4769
Melon - Cantaloupe,4380
"Wine - Magnotta, White",3633
Apricots Fresh,8834
Wine - Carmenere Casillero Del,5931
Lotus Leaves,8382
"Ham - Smoked, Bone - In",3695
Wine - Duboeuf Beaujolais,9823
Mikes Hard Lemonade,5923
"Wine - Red, Pinot Noir, Chateau",9427
"Juice - Tomato, 10 Oz",6299
"Beef - Tenderlion, Center Cut",2277
Seaweed Green Sheets,4915
Silicone Paper 16.5x24,9356
Juice - Ocean Spray Kiwi,5896
"Red Snapper - Fresh, Whole",6037
Creme De Cacao White,532
Honey - Liquid,4208
Chicken - Whole Roasting,2299
Lamb Rack - Ontario,1209
"Cherries - Maraschino,jar",3745
Milk - Buttermilk,6973
Green Tea Refresher,2692
Pastry - Baked Scones - Mini,5648
"Capon - Breast, Double, Wing On",790
Puff Pastry - Sheets,2105
Sword Pick Asst,8338
Tofu - Soft,15
Tea - Herbal Sweet Dreams,6330
Wine - Cotes Du Rhone Parallele,1801
"Soup - Campbells, Chix Gumbo",2292
Truffle - Peelings,6720
Beer - Moosehead,2796
Steam Pan Full Lid,1708
Cup - Paper 10oz 92959,8055
Pear - Asian,4038
Jam - Apricot,9890
Bananas,1560
Cheese - Parmigiano Reggiano,5923
Chicken Giblets,2137
Sea Urchin,984
Sprouts - Brussel,2788
"Oranges - Navel, 72",7244
Flour - All Purpose,8851
Ecolab - Ster Bac,118
Snails - Large Canned,9512
Langers - Ruby Red Grapfruit,2017
"Crab - Claws, Snow 16 - 24",4513
"Bread - Rolls, Corn",3793
Sunflower Seed Raw,6044
Lettuce - Red Leaf,7135
Wine - Dubouef Macon - Villages,4707
Island Oasis - Cappucino Mix,5316
Cheese - Gouda,8877
Neckerchief Blck,9617
"Wine - Red, Concha Y Toro",7554
Trueblue - Blueberry 12x473ml,3327
Onions - Red Pearl,7774
Pork - Caul Fat,703
Veal - Heart,8725
"Salsify, Organic",4845
Buffalo - Tenderloin,4987
Jerusalem Artichoke,6424
Cinnamon - Ground,7278
"Nut - Pine Nuts, Whole",1277
Cheese - Cambozola,3660
Wine - Alsace Gewurztraminer,1311
Ham - Cooked Bayonne Tinned,900
Pastry - Banana Muffin - Mini,3047
Sausage - Blood Pudding,5621
Lamb - Sausage Casings,3137
"Tortillas - Flour, 10",2359
"Pork - Tenderloin, Frozen",2970
Cheese - Sheep Milk,1474
Myers Planters Punch,4129
Pie Shell - 5,9091
Trueblue - Blueberry,9117
"Artichoke - Hearts, Canned",6361
Vinegar - Red Wine,9777
Ginger - Crystalized,7550
Snapple - Iced Tea Peach,1802
Straws - Cocktale,4690
Salt And Pepper Mix - White,6470
Bread Sour Rolls,1113
Wine - Maipo Valle Cabernet,5071
Absolut Citron,4045
"Tortillas - Flour, 8",192
Wine - Champagne Brut Veuve,163
"Vodka - Hot, Lnferno",8314
Mackerel Whole Fresh,771
Chef Hat 20cm,5250
